Sample	ID	Cell_line	Treatment	Cell_stage	Type	Protein	Replicate	Batch
CAPH_G2_N_D_Input_1	IN-CH-1	D	N	G2	Input	CAPH	1	Apr_2022
CAPH_G2_N_D_Input_2	IN-CH-2	D	N	G2	Input	CAPH	2	Apr_2022
CAPH_5min_N_D_Input_1	IN-CH-3	D	N	5min	Input	CAPH	1	Apr_2022
CAPH_5min_N_D_Input_2	IN-CH-4	D	N	5min	Input	CAPH	2	Apr_2022
CAPH_7.5min_N_D_Input_1	IN-CH-5	D	N	7.5min	Input	CAPH	1	Apr_2022
CAPH_7.5min_N_D_Input_2	IN-CH-6	D	N	7.5min	Input	CAPH	2	Apr_2022
CAPH_30min_N_D_Input_1	IN-CH-7	D	N	30min	Input	CAPH	1	Apr_2022
CAPH_30min_N_D_Input_2	IN-CH-8	D	N	30min	Input	CAPH	2	Apr_2022
SMC3_G2_N_D_Input_1	IN-SM3-9	D	N	G2	Input	SMC3	1	Apr_2022
SMC3_G2_N_D_Input_2	IN-SM3-10	D	N	G2	Input	SMC3	2	Apr_2022
SMC3_5min_N_D_Input_1	IN-SM3-11	D	N	5min	Input	SMC3	1	Apr_2022
SMC3_5min_N_D_Input_2	IN-SM3-12	D	N	5min	Input	SMC3	2	Apr_2022
CAPH_G2_N_D_IP_1	IP-CH-1	D	N	G2	IP	CAPH	1	Apr_2022
CAPH_G2_N_D_IP_2	IP-CH-2	D	N	G2	IP	CAPH	2	Apr_2022
CAPH_5min_N_D_IP_1	IP-CH-3	D	N	5min	IP	CAPH	1	Apr_2022
CAPH_5min_N_D_IP_2	IP-CH-4	D	N	5min	IP	CAPH	2	Apr_2022
CAPH_7.5min_N_D_IP_1	IP-CH-5	D	N	7.5min	IP	CAPH	1	Apr_2022
CAPH_7.5min_N_D_IP_2	IP-CH-6	D	N	7.5min	IP	CAPH	2	Apr_2022
CAPH_30min_N_D_IP_1	IP-CH-7	D	N	30min	IP	CAPH	1	Apr_2022
CAPH_30min_N_D_IP_2	IP-CH-8	D	N	30min	IP	CAPH	2	Apr_2022
SMC3_G2_N_D_IP_1	IP-SM3-9	D	N	G2	IP	SMC3	1	Apr_2022
SMC3_G2_N_D_IP_2	IP-SM3-10	D	N	G2	IP	SMC3	2	Apr_2022
SMC3_5min_N_D_IP_1	IP-SM3-11	D	N	5min	IP	SMC3	1	Apr_2022
SMC3_5min_N_D_IP_2	IP-SM3-12	D	N	5min	IP	SMC3	2	Apr_2022
TOPOII_G2_N_D_IP_1	IP_1_TopoII	D	N	G2	IP	TOPOII	1	Aug_2022
TOPOII_G2_N_D_IP_2	IP_2_TopoII	D	N	G2	IP	TOPOII	2	Aug_2022
TOPOII_5min_N_D_IP_1	IP_3_TopoII	D	N	5min	IP	TOPOII	1	Aug_2022
TOPOII_5min_N_D_IP_2	IP_4_TopoII	D	N	5min	IP	TOPOII	2	Aug_2022
TOPOII_7.5min_N_D_IP_1	IP_5_TopoII	D	N	7.5min	IP	TOPOII	1	Aug_2022
TOPOII_7.5min_N_D_IP_2	IP_6_TopoII	D	N	7.5min	IP	TOPOII	2	Aug_2022
TOPOII_30min_N_D_IP_1	IP_7_TopoII	D	N	30min	IP	TOPOII	1	Aug_2022
TOPOII_30min_N_D_IP_2	IP_8_TopoII	D	N	30min	IP	TOPOII	2	Aug_2022
KIF4_G2_N_D_IP_1	IP_9_KIF4	D	N	G2	IP	KIF4	1	Aug_2022
KIF4_G2_N_D_IP_2	IP_10_KIF4	D	N	G2	IP	KIF4	2	Aug_2022
KIF4_5min_N_D_IP_1	IP_11_KIF4	D	N	5min	IP	KIF4	1	Aug_2022
KIF4_5min_N_D_IP_2	IP_12_KIF4	D	N	5min	IP	KIF4	2	Aug_2022
TOPOII_G2_N_D_Input_1	IN_1_TopoII	D	N	G2	Input	TOPOII	1	Aug_2022
TOPOII_G2_N_D_Input_2	IN_2_TopoII	D	N	G2	Input	TOPOII	2	Aug_2022
TOPOII_5min_N_D_Input_1	IN_3_TopoII	D	N	5min	Input	TOPOII	1	Aug_2022
TOPOII_5min_N_D_Input_2	IN_4_TopoII	D	N	5min	Input	TOPOII	2	Aug_2022
TOPOII_7.5min_N_D_Input_1	IN_5_TopoII	D	N	7.5min	Input	TOPOII	1	Aug_2022
TOPOII_7.5min_N_D_Input_2	IN_6_TopoII	D	N	7.5min	Input	TOPOII	2	Aug_2022
TOPOII_30min_N_D_Input_1	IN_7_TopoII	D	N	30min	Input	TOPOII	1	Aug_2022
TOPOII_30min_N_D_Input_2	IN_8_TopoII	D	N	30min	Input	TOPOII	2	Aug_2022
KIF4_G2_N_D_Input_1	IN_9_KIF4	D	N	G2	Input	KIF4	1	Aug_2022
KIF4_G2_N_D_Input_2	IN_10_KIF4	D	N	G2	Input	KIF4	2	Aug_2022
KIF4_5min_N_D_Input_1	IN_11_KIF4	D	N	5min	Input	KIF4	1	Aug_2022
KIF4_5min_N_D_Input_2	IN_12_KIF4	D	N	5min	Input	KIF4	2	Aug_2022
SMC3_7.5min_N_D_Input_1	IN_1_SM3	D	N	7.5min	Input	SMC3	1	Mar_2022
SMC3_7.5min_N_D_Input_2	IN_2_SM3	D	N	7.5min	Input	SMC3	2	Mar_2022
SMC3_30min_N_D_Input_1	IN_3_SM3	D	N	30min	Input	SMC3	1	Mar_2022
SMC3_30min_N_D_Input_2	IN_4_SM3	D	N	30min	Input	SMC3	2	Mar_2022
CAPH2_G2_N_D_Input_1	IN_5_CH2	D	N	G2	Input	CAPH2	1	Mar_2022
CAPH2_G2_N_D_Input_2	IN_6_CH2	D	N	G2	Input	CAPH2	2	Mar_2022
CAPH2_5min_N_D_Input_1	IN_7_CH2	D	N	5min	Input	CAPH2	1	Mar_2022
CAPH2_5min_N_D_Input_2	IN_8_CH2	D	N	5min	Input	CAPH2	2	Mar_2022
CAPH2_7.5min_N_D_Input_1	IN_9_CH2	D	N	7.5min	Input	CAPH2	1	Mar_2022
CAPH2_7.5min_N_D_Input_2	IN_10_CH2	D	N	7.5min	Input	CAPH2	2	Mar_2022
CAPH2_30min_N_D_Input_1	IN_11_CH2	D	N	30min	Input	CAPH2	1	Mar_2022
CAPH2_30min_N_D_Input_2	IN_12_CH2	D	N	30min	Input	CAPH2	2	Mar_2022
SMC3_7.5min_N_D_IP_1	IP_1_SM3	D	N	7.5min	IP	SMC3	1	Mar_2022
SMC3_7.5min_N_D_IP_2	IP_2_SM3	D	N	7.5min	IP	SMC3	2	Mar_2022
SMC3_30min_N_D_IP_1	IP_3_SM3	D	N	30min	IP	SMC3	1	Mar_2022
SMC3_30min_N_D_IP_2	IP_4_SM3	D	N	30min	IP	SMC3	2	Mar_2022
CAPH2_G2_N_D_IP_1	IP_5_CH2	D	N	G2	IP	CAPH2	1	Mar_2022
CAPH2_G2_N_D_IP_2	IP_6_CH2	D	N	G2	IP	CAPH2	2	Mar_2022
CAPH2_5min_N_D_IP_1	IP_7_CH2	D	N	5min	IP	CAPH2	1	Mar_2022
CAPH2_5min_N_D_IP_2	IP_8_CH2	D	N	5min	IP	CAPH2	2	Mar_2022
CAPH2_7.5min_N_D_IP_1	IP_9_CH2	D	N	7.5min	IP	CAPH2	1	Mar_2022
CAPH2_7.5min_N_D_IP_2	IP_10_CH2	D	N	7.5min	IP	CAPH2	2	Mar_2022
CAPH2_30min_N_D_IP_1	IP_11_CH2	D	N	30min	IP	CAPH2	1	Mar_2022
CAPH2_30min_N_D_IP_2	IP_12_CH2	D	N	30min	IP	CAPH2	2	Mar_2022
LMNB1_G2_N_D-S3-A-C_Input_1	IN_LM1	D-S3-A-C	N	G2	Input	LMNB1	1	Nov_2022
LMNB1_G2_N_D-S3-A-C_Input_2	IN_LM2	D-S3-A-C	N	G2	Input	LMNB1	2	Nov_2022
H3K9ME3_G2_N_D-S3-A-C_Input_1	IN_m3-1	D-S3-A-C	N	G2	Input	H3K9ME3	1	Nov_2022
H3K9ME3_G2_N_D-S3-A-C_Input_2	IN_m3-2	D-S3-A-C	N	G2	Input	H3K9ME3	2	Nov_2022
H3K9ME2-AM_G2_N_D-S3-A-C_Input_1	IN_AM-m2-1	D-S3-A-C	N	G2	Input	H3K9ME2-AM	1	Nov_2022
H3K9ME2-AM_G2_N_D-S3-A-C_Input_2	IN_AM-m2-2	D-S3-A-C	N	G2	Input	H3K9ME2-AM	2	Nov_2022
H3K9ME2-AB_G2_N_D-S3-A-C_Input_1	IN_AB-m2-1	D-S3-A-C	N	G2	Input	H3K9ME2-AB	1	Nov_2022
H3K9ME2-AB_G2_N_D-S3-A-C_Input_2	IN_AB-m2-2	D-S3-A-C	N	G2	Input	H3K9ME2-AB	2	Nov_2022
KIF4_7.5min_N_D_Input_1	IN_KIF4-5	D	N	7.5min	Input	KIF4	1	Nov_2022
KIF4_7.5min_N_D_Input_2	IN_KIF4-6	D	N	7.5min	Input	KIF4	2	Nov_2022
KIF4_30min_N_D_Input_1	IN_KIF4-7	D	N	30min	Input	KIF4	1	Nov_2022
KIF4_30min_N_D_Input_2	IN_KIF4-8	D	N	30min	Input	KIF4	2	Nov_2022
LMNB1_G2_N_D-S3-A-C_IP_1	IP_LM1	D-S3-A-C	N	G2	IP	LMNB1	1	Nov_2022
LMNB1_G2_N_D-S3-A-C_IP_2	IP_LM2	D-S3-A-C	N	G2	IP	LMNB1	2	Nov_2022
H3K9ME3_G2_N_D-S3-A-C_IP_1	IP_m3-1	D-S3-A-C	N	G2	IP	H3K9ME3	1	Nov_2022
H3K9ME3_G2_N_D-S3-A-C_IP_2	IP_m3-2	D-S3-A-C	N	G2	IP	H3K9ME3	2	Nov_2022
H3K9ME2-AM_G2_N_D-S3-A-C_IP_1	IP_AM-m2-1	D-S3-A-C	N	G2	IP	H3K9ME2-AM	1	Nov_2022
H3K9ME2-AM_G2_N_D-S3-A-C_IP_2	IP_AM-m2-2	D-S3-A-C	N	G2	IP	H3K9ME2-AM	2	Nov_2022
H3K9ME2-AB_G2_N_D-S3-A-C_IP_1	IP_AB-m2-1	D-S3-A-C	N	G2	IP	H3K9ME2-AB	1	Nov_2022
H3K9ME2-AB_G2_N_D-S3-A-C_IP_2	IP_AB-m2-2	D-S3-A-C	N	G2	IP	H3K9ME2-AB	2	Nov_2022
KIF4_7.5min_N_D_IP_1	IP_KIF4-5	D	N	7.5min	IP	KIF4	1	Nov_2022
KIF4_7.5min_N_D_IP_2	IP_KIF4-6	D	N	7.5min	IP	KIF4	2	Nov_2022
KIF4_30min_N_D_IP_1	IP_KIF4-7	D	N	30min	IP	KIF4	1	Nov_2022
KIF4_30min_N_D_IP_2	IP_KIF4-8	D	N	30min	IP	KIF4	2	Nov_2022
CTCF_G2_N_D-S2-A-C_Input_1	IN_1_S2C_NM	D-S2-A-C	N	G2	Input	CTCF	1	Nov_2022
CTCF_G2_N_D-S2-A-C_Input_2	IN_2_S2C_NM	D-S2-A-C	N	G2	Input	CTCF	2	Nov_2022
CTCF_5min_N_D-S2-A-C_Input_1	IN_3_S2C_NM	D-S2-A-C	N	5min	Input	CTCF	1	Nov_2022
CTCF_5min_N_D-S2-A-C_Input_2	IN_4_S2C_NM	D-S2-A-C	N	5min	Input	CTCF	2	Nov_2022
CTCF_7.5min_N_D-S2-A-C_Input_1	IN_5_S2C_NM	D-S2-A-C	N	7.5min	Input	CTCF	1	Nov_2022
CTCF_7.5min_N_D-S2-A-C_Input_2	IN_6_S2C_NM	D-S2-A-C	N	7.5min	Input	CTCF	2	Nov_2022
CTCF_30min_N_D-S2-A-C_Input_1	IN_7_S2C_NM	D-S2-A-C	N	30min	Input	CTCF	1	Nov_2022
CTCF_30min_N_D-S2-A-C_Input_2	IN_8_S2C_NM	D-S2-A-C	N	30min	Input	CTCF	2	Nov_2022
CENPH_G2_N_D_Input_1	IN_1_CN-H	D	N	G2	Input	CENPH	1	Nov_2022
CENPH_G2_N_D_Input_2	IN_2_CN-H	D	N	G2	Input	CENPH	2	Nov_2022
CENPH_5min_N_D_Input_1	IN_3_CN-H	D	N	5min	Input	CENPH	1	Nov_2022
CENPH_5min_N_D_Input_2	IN_4_CN-H	D	N	5min	Input	CENPH	2	Nov_2022
CTCF_G2_N_D-S2-A-C_IP_1	IP_1_S2C_NM	D-S2-A-C	N	G2	IP	CTCF	1	Nov_2022
CTCF_G2_N_D-S2-A-C_IP_2	IP_2_S2C_NM	D-S2-A-C	N	G2	IP	CTCF	2	Nov_2022
CTCF_5min_N_D-S2-A-C_IP_1	IP_3_S2C_NM	D-S2-A-C	N	5min	IP	CTCF	1	Nov_2022
CTCF_5min_N_D-S2-A-C_IP_2	IP_4_S2C_NM	D-S2-A-C	N	5min	IP	CTCF	2	Nov_2022
CTCF_7.5min_N_D-S2-A-C_IP_1	IP_5_S2C_NM	D-S2-A-C	N	7.5min	IP	CTCF	1	Nov_2022
CTCF_7.5min_N_D-S2-A-C_IP_2	IP_6_S2C_NM	D-S2-A-C	N	7.5min	IP	CTCF	2	Nov_2022
CTCF_30min_N_D-S2-A-C_IP_1	IP_7_S2C_NM	D-S2-A-C	N	30min	IP	CTCF	1	Nov_2022
CTCF_30min_N_D-S2-A-C_IP_2	IP_8_S2C_NM	D-S2-A-C	N	30min	IP	CTCF	2	Nov_2022
CENPH_G2_N_D_IP_1	IP_1_CN-H	D	N	G2	IP	CENPH	1	Nov_2022
CENPH_G2_N_D_IP_2	IP_2_CN-H	D	N	G2	IP	CENPH	2	Nov_2022
CENPH_5min_N_D_IP_1	IP_3_CN-H	D	N	5min	IP	CENPH	1	Nov_2022
CENPH_5min_N_D_IP_2	IP_4_CN-H	D	N	5min	IP	CENPH	2	Nov_2022
SMC3_G2_N_D-S2-A-C_Input_1	IN_1_S2S3_NM	D-S2-A-C	N	G2	Input	SMC3	1	Nov_2022
SMC3_G2_N_D-S2-A-C_Input_2	IN_2_S2S3_NM	D-S2-A-C	N	G2	Input	SMC3	2	Nov_2022
SMC3_5min_N_D-S2-A-C_Input_1	IN_3_S2S3_NM	D-S2-A-C	N	5min	Input	SMC3	1	Nov_2022
SMC3_5min_N_D-S2-A-C_Input_2	IN_4_S2S3_NM	D-S2-A-C	N	5min	Input	SMC3	2	Nov_2022
SMC3_7.5min_N_D-S2-A-C_Input_1	IN_5_S2S3_NM	D-S2-A-C	N	7.5min	Input	SMC3	1	Nov_2022
SMC3_7.5min_N_D-S2-A-C_Input_2	IN_6_S2S3_NM	D-S2-A-C	N	7.5min	Input	SMC3	2	Nov_2022
SMC3_30min_N_D-S2-A-C_Input_1	IN_7_S2S3_NM	D-S2-A-C	N	30min	Input	SMC3	1	Nov_2022
SMC3_30min_N_D-S2-A-C_Input_2	IN_8_S2S3_NM	D-S2-A-C	N	30min	Input	SMC3	2	Nov_2022
SMC3_G2_N_D-S2-A-C_IP_1	IP_1_S2S3_NM	D-S2-A-C	N	G2	IP	SMC3	1	Nov_2022
SMC3_G2_N_D-S2-A-C_IP_2	IP_2_S2S3_NM	D-S2-A-C	N	G2	IP	SMC3	2	Nov_2022
SMC3_5min_N_D-S2-A-C_IP_1	IP_3_S2S3_NM	D-S2-A-C	N	5min	IP	SMC3	1	Nov_2022
SMC3_5min_N_D-S2-A-C_IP_2	IP_4_S2S3_NM	D-S2-A-C	N	5min	IP	SMC3	2	Nov_2022
SMC3_7.5min_N_D-S2-A-C_IP_1	IP_5_S2S3_NM	D-S2-A-C	N	7.5min	IP	SMC3	1	Nov_2022
SMC3_7.5min_N_D-S2-A-C_IP_2	IP_6_S2S3_NM	D-S2-A-C	N	7.5min	IP	SMC3	2	Nov_2022
SMC3_30min_N_D-S2-A-C_IP_1	IP_7_S2S3_NM	D-S2-A-C	N	30min	IP	SMC3	1	Nov_2022
SMC3_30min_N_D-S2-A-C_IP_2	IP_8_S2S3_NM	D-S2-A-C	N	30min	IP	SMC3	2	Nov_2022
SMC3_G2_N+I_D-S2-A-C_Input_1	IN_1_S2S3_N+I	D-S2-A-C	N+I	G2	Input	SMC3	1	Nov_2022
SMC3_G2_N+I_D-S2-A-C_Input_2	IN_2_S2S3_N+I	D-S2-A-C	N+I	G2	Input	SMC3	2	Nov_2022
SMC3_5min_N+I_D-S2-A-C_Input_1	IN_3_S2S3_N+I	D-S2-A-C	N+I	5min	Input	SMC3	1	Nov_2022
SMC3_5min_N+I_D-S2-A-C_Input_2	IN_4_S2S3_N+I	D-S2-A-C	N+I	5min	Input	SMC3	2	Nov_2022
SMC3_7.5min_N+I_D-S2-A-C_Input_1	IN_5_S2S3_N+I	D-S2-A-C	N+I	7.5min	Input	SMC3	1	Nov_2022
SMC3_7.5min_N+I_D-S2-A-C_Input_2	IN_6_S2S3_N+I	D-S2-A-C	N+I	7.5min	Input	SMC3	2	Nov_2022
SMC3_30min_N+I_D-S2-A-C_Input_1	IN_7_S2S3_N+I	D-S2-A-C	N+I	30min	Input	SMC3	1	Nov_2022
SMC3_30min_N+I_D-S2-A-C_Input_2	IN_8_S2S3_N+I	D-S2-A-C	N+I	30min	Input	SMC3	2	Nov_2022
SMC3_G2_N+I_D-S2-A-C_IP_1	IP_1_S2S3_N+I	D-S2-A-C	N+I	G2	IP	SMC3	1	Nov_2022
SMC3_G2_N+I_D-S2-A-C_IP_2	IP_2_S2S3_N+I	D-S2-A-C	N+I	G2	IP	SMC3	2	Nov_2022
SMC3_5min_N+I_D-S2-A-C_IP_1	IP_3_S2S3_N+I	D-S2-A-C	N+I	5min	IP	SMC3	1	Nov_2022
SMC3_5min_N+I_D-S2-A-C_IP_2	IP_4_S2S3_N+I	D-S2-A-C	N+I	5min	IP	SMC3	2	Nov_2022
SMC3_7.5min_N+I_D-S2-A-C_IP_1	IP_5_S2S3_N+I	D-S2-A-C	N+I	7.5min	IP	SMC3	1	Nov_2022
SMC3_7.5min_N+I_D-S2-A-C_IP_2	IP_6_S2S3_N+I	D-S2-A-C	N+I	7.5min	IP	SMC3	2	Nov_2022
SMC3_30min_N+I_D-S2-A-C_IP_1	IP_7_S2S3_N+I	D-S2-A-C	N+I	30min	IP	SMC3	1	Nov_2022
SMC3_30min_N+I_D-S2-A-C_IP_2	IP_8_S2S3_N+I	D-S2-A-C	N+I	30min	IP	SMC3	2	Nov_2022
CTCF_G2_N+I_D-S2-A-C_Input_1	IN_1_S2C_N+I	D-S2-A-C	N+I	G2	Input	CTCF	1	Nov_2022
CTCF_G2_N+I_D-S2-A-C_Input_2	IN_2_S2C_N+I	D-S2-A-C	N+I	G2	Input	CTCF	2	Nov_2022
CTCF_5min_N+I_D-S2-A-C_Input_1	IN_3_S2C_N+I	D-S2-A-C	N+I	5min	Input	CTCF	1	Nov_2022
CTCF_5min_N+I_D-S2-A-C_Input_2	IN_4_S2C_N+I	D-S2-A-C	N+I	5min	Input	CTCF	2	Nov_2022
CTCF_7.5min_N+I_D-S2-A-C_Input_1	IN_5_S2C_N+I	D-S2-A-C	N+I	7.5min	Input	CTCF	1	Nov_2022
CTCF_7.5min_N+I_D-S2-A-C_Input_2	IN_6_S2C_N+I	D-S2-A-C	N+I	7.5min	Input	CTCF	2	Nov_2022
CTCF_30min_N+I_D-S2-A-C_Input_1	IN_7_S2C_N+I	D-S2-A-C	N+I	30min	Input	CTCF	1	Nov_2022
CTCF_30min_N+I_D-S2-A-C_Input_2	IN_8_S2C_N+I	D-S2-A-C	N+I	30min	Input	CTCF	2	Nov_2022
CENPH_7.5min_N_D_Input_1	IN_5_CN-H	D	N	7.5min	Input	CENPH	1	Nov_2022
CENPH_7.5min_N_D_Input_2	IN_6_CN-H	D	N	7.5min	Input	CENPH	2	Nov_2022
CENPH_30min_N_D_Input_1	IN_7_CN-H	D	N	30min	Input	CENPH	1	Nov_2022
CENPH_30min_N_D_Input_2	IN_8_CN-H	D	N	30min	Input	CENPH	2	Nov_2022
CTCF_G2_N+I_D-S2-A-C_IP_1	IP_1_S2C_N+I	D-S2-A-C	N+I	G2	IP	CTCF	1	Nov_2022
CTCF_G2_N+I_D-S2-A-C_IP_2	IP_2_S2C_N+I	D-S2-A-C	N+I	G2	IP	CTCF	2	Nov_2022
CTCF_5min_N+I_D-S2-A-C_IP_1	IP_3_S2C_N+I	D-S2-A-C	N+I	5min	IP	CTCF	1	Nov_2022
CTCF_5min_N+I_D-S2-A-C_IP_2	IP_4_S2C_N+I	D-S2-A-C	N+I	5min	IP	CTCF	2	Nov_2022
CTCF_7.5min_N+I_D-S2-A-C_IP_1	IP_5_S2C_N+I	D-S2-A-C	N+I	7.5min	IP	CTCF	1	Nov_2022
CTCF_7.5min_N+I_D-S2-A-C_IP_2	IP_6_S2C_N+I	D-S2-A-C	N+I	7.5min	IP	CTCF	2	Nov_2022
CTCF_30min_N+I_D-S2-A-C_IP_1	IP_7_S2C_N+I	D-S2-A-C	N+I	30min	IP	CTCF	1	Nov_2022
CTCF_30min_N+I_D-S2-A-C_IP_2	IP_8_S2C_N+I	D-S2-A-C	N+I	30min	IP	CTCF	2	Nov_2022
CENPH_7.5min_N_D_IP_1	IP_5_CN-H	D	N	7.5min	IP	CENPH	1	Nov_2022
CENPH_7.5min_N_D_IP_2	IP_6_CN-H	D	N	7.5min	IP	CENPH	2	Nov_2022
CENPH_30min_N_D_IP_1	IP_7_CN-H	D	N	30min	IP	CENPH	1	Nov_2022
CENPH_30min_N_D_IP_2	IP_8_CN-H	D	N	30min	IP	CENPH	2	Nov_2022
